!Postprocessed file of ice storage.
!File processed with plotMatplotlib.py at 28-06-2021 11:52:53
! (2) T-$PRdInKW$-sort (3) cum-$PRdInKW$ (4) T-$PRdInKW$-sort (5) cum-$PRdInKW$ 
100 55.000000 0.003203 40.716827 0.038986 
200 55.000000 0.008048 41.558762 0.072892 
300 55.000000 0.015207 41.960860 0.105021 
400 55.000000 0.015207 42.397910 0.134260 
500 55.000000 0.015207 42.559459 0.163850 
600 55.000000 0.016635 42.773213 0.193588 
700 55.000000 0.019527 43.200148 0.221153 
800 55.000000 0.028257 43.359830 0.247410 
900 55.000000 0.030356 43.477827 0.275023 
1000 55.000000 0.031121 43.722737 0.301572 
1100 55.000000 0.035215 44.151787 0.326458 
1200 55.000000 0.035215 44.256770 0.349445 
1300 55.000000 0.035215 44.340246 0.373265 
1400 55.000000 0.035215 44.411190 0.398131 
1500 55.000000 0.035215 44.548898 0.422974 
1600 55.000000 0.035215 44.910004 0.445320 
1700 55.000000 0.035215 45.121339 0.464962 
1800 55.000000 0.035215 45.212613 0.484875 
1900 55.000000 0.035215 45.290516 0.506299 
2000 55.000000 0.035215 45.352529 0.528353 
2100 55.000000 0.035215 45.420655 0.549983 
2200 55.000000 0.037575 45.694989 0.569697 
2300 55.000000 0.062750 45.933992 0.587929 
2400 55.000000 0.082430 46.055798 0.605604 
2500 55.000000 0.104954 46.165240 0.624524 
2600 55.000000 0.126812 46.224247 0.643780 
2700 55.000000 0.149841 46.262496 0.662898 
2800 55.000000 0.178080 46.289271 0.682047 
2900 55.000000 0.202951 46.321514 0.701129 
3000 55.000000 0.223804 46.357387 0.720133 
3100 55.000000 0.245569 46.537922 0.738488 
3200 55.000000 0.266520 46.916511 0.754674 
3300 55.000000 0.285833 47.123905 0.770293 
3400 55.000000 0.296701 47.188580 0.786226 
3500 55.000000 0.308008 47.242632 0.802244 
3600 55.000000 0.324139 47.341825 0.818179 
3700 55.000000 0.332446 47.756962 0.832746 
3800 55.000000 0.345146 48.029023 0.845836 
3900 55.000000 0.361235 48.108310 0.858765 
4000 55.000000 0.376487 48.148033 0.871678 
4100 55.000000 0.393405 48.192590 0.884518 
4200 55.000000 0.407715 48.251109 0.897297 
4300 55.000000 0.420826 48.401502 0.909984 
4400 55.000000 0.431051 48.891531 0.922375 
4500 55.000000 0.446732 49.141663 0.932693 
4600 55.000000 0.462735 49.368785 0.942648 
4700 55.000000 0.483587 49.858443 0.953994 
4800 55.000000 0.507510 50.166035 0.961176 
4900 55.000000 0.525739 50.447655 0.969148 
5000 55.000000 0.544963 51.040399 0.977351 
5100 55.000000 0.558792 51.478449 0.983760 
5200 55.000000 0.565366 51.550810 0.990280 
5300 55.000000 0.584390 52.508092 0.994401 
5400 55.000000 0.602792 52.554259 0.997683 
5500 55.000000 0.619871 54.912975 1.000000 
5600 55.000000 0.645343 55.000000 1.000000 
5700 55.000000 0.667087 55.000000 1.000000 
5800 55.000000 0.690574 55.000000 1.000000 
5900 55.000000 0.715977 55.000000 1.000000 
6000 55.000000 0.748917 55.000000 1.000000 
6100 55.000000 0.773456 55.000000 1.000000 
6200 55.000000 0.793440 55.000000 1.000000 
6300 55.000000 0.812566 55.000000 1.000000 
6400 55.000000 0.834683 55.000000 1.000000 
6500 55.000000 0.859035 55.000000 1.000000 
6600 55.000000 0.877298 55.000000 1.000000 
6700 55.000000 0.877770 55.000000 1.000000 
6800 55.000000 0.877770 55.000000 1.000000 
6900 55.000000 0.881176 55.000000 1.000000 
7000 55.000000 0.882452 55.000000 1.000000 
7100 55.000000 0.883703 55.000000 1.000000 
7200 55.000000 0.883736 55.000000 1.000000 
7300 55.000000 0.883736 55.000000 1.000000 
7400 55.000000 0.883802 55.000000 1.000000 
7500 55.000000 0.888632 55.000000 1.000000 
7600 55.000000 0.889045 55.000000 1.000000 
7700 55.000000 0.894786 55.000000 1.000000 
7800 55.000000 0.909118 55.000000 1.000000 
7900 55.000000 0.916701 55.000000 1.000000 
8000 55.000000 0.922328 55.000000 1.000000 
8100 55.000000 0.929947 55.000000 1.000000 
8200 55.000000 0.946221 55.000000 1.000000 
8300 55.000000 0.955422 55.000000 1.000000 
8400 55.000000 0.962066 55.000000 1.000000 
8500 55.000000 0.966205 55.000000 1.000000 
8600 55.000000 0.979950 55.000000 1.000000 
8700 55.000000 0.991194 55.000000 1.000000 
8759 55.000000 1.000000 55.000000 1.000000 
