,heures,total,Refrigeration,Lighting,HVAC,Other
0,1.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
1,2.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
2,3.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
3,4.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
4,5.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
5,6.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
6,7.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
7,8.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
8,9.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
9,10.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
10,11.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
11,12.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
12,13.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
13,14.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
14,15.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
15,16.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
16,17.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
17,18.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
18,19.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
19,20.0,949.9141938692165,98.9386853594615,570.7762557077625,166.04400166044002,114.15525114155251
20,21.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
21,22.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
22,23.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
23,24.0,141.4174489102342,79.15094828756921,0.0,62.266500622665,0.0
24,1.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
25,2.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
26,3.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
27,4.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
28,5.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
29,6.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
30,7.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
31,8.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
32,9.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
33,10.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
34,11.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
35,12.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
36,13.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
37,14.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
38,15.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
39,16.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
40,17.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
41,18.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
42,19.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
43,20.0,949.9265957544615,98.95108724470637,570.7762557077625,166.04400166044002,114.15525114155251
44,21.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
45,22.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
46,23.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
47,24.0,141.4273704184301,79.1608697957651,0.0,62.266500622665,0.0
48,1.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
49,2.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
50,3.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
51,4.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
52,5.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
53,6.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
54,7.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
55,8.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
56,9.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
57,10.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
58,11.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
59,12.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
60,13.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
61,14.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
62,15.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
63,16.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
64,17.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
65,18.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
66,19.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
67,20.0,949.9472614798889,98.97175297013386,570.7762557077625,166.04400166044002,114.15525114155251
68,21.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
69,22.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
70,23.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
71,24.0,141.4439029987721,79.1774023761071,0.0,62.266500622665,0.0
72,1.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
73,2.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
74,3.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
75,4.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
76,5.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
77,6.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
78,7.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
79,8.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
80,9.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
81,10.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
82,11.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
83,12.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
84,13.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
85,14.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
86,15.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
87,16.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
88,17.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
89,18.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
90,19.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
91,20.0,949.9761849217986,99.00067641204353,570.7762557077625,166.04400166044002,114.15525114155251
92,21.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
93,22.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
94,23.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
95,24.0,141.46704175229982,79.20054112963483,0.0,62.266500622665,0.0
96,1.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
97,2.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
98,3.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
99,4.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
100,5.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
101,6.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
102,7.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
103,8.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
104,9.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
105,10.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
106,11.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
107,12.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
108,13.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
109,14.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
110,15.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
111,16.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
112,17.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
113,18.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
114,19.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
115,20.0,950.0133575095504,99.03784899979533,570.7762557077625,166.04400166044002,114.15525114155251
116,21.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
117,22.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
118,23.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
119,24.0,141.49677982250125,79.23027919983626,0.0,62.266500622665,0.0
120,1.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
121,2.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
122,3.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
123,4.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
124,5.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
125,6.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
126,7.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
127,8.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
128,9.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
129,10.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
130,11.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
131,12.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
132,13.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
133,14.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
134,15.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
135,16.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
136,17.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
137,18.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
138,19.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
139,20.0,950.0587682281043,99.08325971834924,570.7762557077625,166.04400166044002,114.15525114155251
140,21.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
141,22.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
142,23.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
143,24.0,141.5331083973444,79.2666077746794,0.0,62.266500622665,0.0
144,1.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
145,2.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
146,3.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
147,4.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
148,5.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
149,6.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
150,7.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
151,8.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
152,9.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
153,10.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
154,11.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
155,12.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
156,13.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
157,14.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
158,15.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
159,16.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
160,17.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
161,18.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
162,19.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
163,20.0,950.1124036212843,99.13689511152933,570.7762557077625,166.04400166044002,114.15525114155251
164,21.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
165,22.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
166,23.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
167,24.0,141.57601671188846,79.30951608922346,0.0,62.266500622665,0.0
168,1.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
169,2.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
170,3.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
171,4.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
172,5.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
173,6.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
174,7.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
175,8.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
176,9.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
177,10.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
178,11.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
179,12.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
180,13.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
181,14.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
182,15.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
183,16.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
184,17.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
185,18.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
186,19.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
187,20.0,950.1742477957661,99.19873928601103,570.7762557077625,166.04400166044002,114.15525114155251
188,21.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
189,22.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
190,23.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
191,24.0,141.62549205147383,79.35899142880884,0.0,62.266500622665,0.0
192,1.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
193,2.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
194,3.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
195,4.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
196,5.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
197,6.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
198,7.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
199,8.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
200,9.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
201,10.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
202,11.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
203,12.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
204,13.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
205,14.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
206,15.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
207,16.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
208,17.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
209,18.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
210,19.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
211,20.0,950.2442824257859,99.26877391603078,570.7762557077625,166.04400166044002,114.15525114155251
212,21.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
213,22.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
214,23.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
215,24.0,141.68151975548963,79.41501913282463,0.0,62.266500622665,0.0
216,1.0,141.74408322171794,79.47758259905295,0.0,62.266500622665,0.0
217,2.0,141.74408322171794,79.47758259905295,0.0,62.266500622665,0.0
218,3.0,141.74408322171794,79.47758259905295,0.0,62.266500622665,0.0
219,4.0,141.74408322171794,79.47758259905295,0.0,62.266500622665,0.0
220,5.0,141.74408322171794,79.47758259905295,0.0,62.266500622665,0.0
