!Postprocessed file of ice storage.
!File processed with plotMatplotlib.py at 28-06-2021 11:52:53
! (2) T-$PRdInKW$-sort (3) cum-$PRdInKW$ (4) T-$PRdInKW$-sort (5) cum-$PRdInKW$ 
100 55.000000 0.000230 39.180776 0.059594 
200 55.000000 0.000230 40.603911 0.110682 
300 55.000000 0.000230 41.026498 0.156955 
400 55.000000 0.000230 41.589194 0.199336 
500 55.000000 0.000230 41.782192 0.241159 
600 55.000000 0.000230 42.087711 0.283249 
700 55.000000 0.003177 42.566334 0.322081 
800 55.000000 0.004180 42.720964 0.360992 
900 55.000000 0.004180 43.092074 0.399755 
1000 55.000000 0.004180 43.543919 0.433881 
1100 55.000000 0.004180 43.697426 0.468158 
1200 55.000000 0.004180 43.855838 0.503854 
1300 55.000000 0.004180 44.387589 0.536262 
1400 55.000000 0.004180 44.584948 0.564859 
1500 55.000000 0.004180 44.733234 0.595875 
1600 55.000000 0.004180 45.041992 0.626381 
1700 55.000000 0.004180 45.363153 0.653001 
1800 55.000000 0.004180 45.584259 0.679640 
1900 55.000000 0.004180 45.673602 0.707081 
2000 55.000000 0.004180 45.740070 0.734658 
2100 55.000000 0.004180 45.812698 0.762005 
2200 55.000000 0.008011 46.223357 0.788200 
2300 55.000000 0.045162 46.658459 0.811170 
2400 55.000000 0.065938 46.796504 0.834041 
2500 55.000000 0.092956 47.289475 0.855340 
2600 55.000000 0.124889 47.631018 0.873997 
2700 55.000000 0.157454 47.700174 0.892696 
2800 55.000000 0.198503 47.820341 0.911308 
2900 55.000000 0.235948 48.324733 0.929684 
3000 55.000000 0.266362 48.836535 0.944750 
3100 55.000000 0.297475 49.741611 0.958435 
3200 55.000000 0.326276 50.200861 0.969870 
3300 55.000000 0.348718 51.035211 0.980030 
3400 55.000000 0.350298 51.334020 0.989341 
3500 55.000000 0.355123 52.377385 0.995118 
3600 55.000000 0.361998 53.485815 0.999906 
3700 55.000000 0.363451 55.000000 1.000000 
3800 55.000000 0.369337 55.000000 1.000000 
3900 55.000000 0.376212 55.000000 1.000000 
4000 55.000000 0.385729 55.000000 1.000000 
4100 55.000000 0.405519 55.000000 1.000000 
4200 55.000000 0.415954 55.000000 1.000000 
4300 55.000000 0.421995 55.000000 1.000000 
4400 55.000000 0.428419 55.000000 1.000000 
4500 55.000000 0.441325 55.000000 1.000000 
4600 55.000000 0.454212 55.000000 1.000000 
4700 55.000000 0.475509 55.000000 1.000000 
4800 55.000000 0.504848 55.000000 1.000000 
4900 55.000000 0.517696 55.000000 1.000000 
5000 55.000000 0.529150 55.000000 1.000000 
5100 55.000000 0.542509 55.000000 1.000000 
5200 55.000000 0.544101 55.000000 1.000000 
5300 55.000000 0.566521 55.000000 1.000000 
5400 55.000000 0.585570 55.000000 1.000000 
5500 55.000000 0.606237 55.000000 1.000000 
5600 55.000000 0.642404 55.000000 1.000000 
5700 55.000000 0.670038 55.000000 1.000000 
5800 55.000000 0.699612 55.000000 1.000000 
5900 55.000000 0.718352 55.000000 1.000000 
6000 55.000000 0.769558 55.000000 1.000000 
6100 55.000000 0.803539 55.000000 1.000000 
6200 55.000000 0.832591 55.000000 1.000000 
6300 55.000000 0.855801 55.000000 1.000000 
6400 55.000000 0.888720 55.000000 1.000000 
6500 55.000000 0.923496 55.000000 1.000000 
6600 55.000000 0.950849 55.000000 1.000000 
6700 55.000000 0.950849 55.000000 1.000000 
6800 55.000000 0.950849 55.000000 1.000000 
6900 55.000000 0.950849 55.000000 1.000000 
7000 55.000000 0.950849 55.000000 1.000000 
7100 55.000000 0.950849 55.000000 1.000000 
7200 55.000000 0.950849 55.000000 1.000000 
7300 55.000000 0.950849 55.000000 1.000000 
7400 55.000000 0.950849 55.000000 1.000000 
7500 55.000000 0.950849 55.000000 1.000000 
7600 55.000000 0.950849 55.000000 1.000000 
7700 55.000000 0.954208 55.000000 1.000000 
7800 55.000000 0.964486 55.000000 1.000000 
7900 55.000000 0.964486 55.000000 1.000000 
8000 55.000000 0.964628 55.000000 1.000000 
8100 55.000000 0.966960 55.000000 1.000000 
8200 55.000000 0.975868 55.000000 1.000000 
8300 55.000000 0.981615 55.000000 1.000000 
8400 55.000000 0.982466 55.000000 1.000000 
8500 55.000000 0.982466 55.000000 1.000000 
8600 55.000000 0.984723 55.000000 1.000000 
8700 55.000000 0.989404 55.000000 1.000000 
8759 55.000000 1.000000 55.000000 1.000000 
