!nMonth	$Q_{SH-demand}$	$Q_{Solar-gain}$	$Q_{Int-gain}$	$Q_{Walls}$	$Q_{Inf-vent}$	$Q_{acum}$	
1	8923.11	10828.44	12553.96	-8681.00	-12783.08	12686.86	
2	5952.57	9480.21	11037.47	-7408.91	-10886.87	-11088.87	
3	3945.66	8649.60	10371.24	-6665.14	-9775.42	-10334.11	
4	1021.58	5847.28	7515.00	-5619.17	-8210.82	8187.80	
5	715.04	4800.35	6516.12	-4149.89	-6066.76	-6507.45	
6	0.00	3296.58	4970.84	-2791.81	-4473.31	-4937.22	
7	0.00	2867.29	4597.44	-2615.86	-4626.96	4625.15	
8	0.00	2574.27	4296.66	-2719.64	-4804.19	4770.31	
9	141.15	3193.40	4877.84	-3523.29	-5145.89	5128.55	
10	1453.56	5832.94	7547.40	-5131.13	-7506.31	-7546.11	
11	5193.48	7838.63	9507.03	-6620.81	-9727.64	9763.56	
12	8389.79	10246.32	11989.78	-8119.09	-11956.25	-12007.72	
