!nMonth	$Q_{SH-demand}$	$Q_{Solar-gain}$	$Q_{Int-gain}$	$Q_{Walls}$	$Q_{Inf-vent}$	$Q_{acum}$	
1	6776.26	8681.59	10407.11	-8687.48	-10648.76	10539.98	
2	4177.98	7705.62	9262.87	-7412.40	-9075.01	-9300.87	
3	2468.91	7101.37	8823.33	-6695.66	-8189.33	-8780.59	
4	456.76	4462.18	6133.57	-5649.43	-6899.78	6855.45	
5	331.45	4265.43	5981.88	-4325.10	-5283.43	-5941.01	
6	0.00	2848.30	4524.57	-2829.34	-4325.80	-4512.39	
7	0.00	2867.29	4597.44	-2727.79	-4543.20	-4593.42	
8	0.00	2574.27	4296.66	-2815.66	-4700.91	4674.97	
9	0.00	2746.24	4432.04	-3800.81	-4641.81	4625.36	
10	293.45	4672.83	6387.29	-5344.41	-6526.65	6517.67	
11	3640.77	6285.92	7954.32	-6689.75	-8189.77	8217.80	
12	6384.87	8241.41	9984.87	-8119.14	-9952.40	-10003.26	
